"filename", "language", "JavaScript", "HTML", "CSS", "Markdown", "XML", "JSON", "comment", "blank", "total"
"f:\sls\code\大事件\code\assets\lib\echarts.min.js", "JavaScript", 19, 0, 0, 0, 0, 0, 16, 0, 35
"f:\sls\code\大事件\code\assets\lib\jquery.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\css\layui.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\css\layui.mobile.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\css\modules\code.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\css\modules\laydate\default\laydate.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\css\modules\layer\default\layer.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\font\iconfont.svg", "XML", 0, 0, 0, 0, 172, 0, 3, 311, 486
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\carousel.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\code.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\colorpicker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\element.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\flow.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\form.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\jquery.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 0, 5
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\laydate.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\layedit.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\layer.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\laypage.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\laytpl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\mobile.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\rate.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\slider.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\table.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\transfer.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\tree.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\upload.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\lay\modules\util.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\layui\layui.all.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 0, 5
"f:\sls\code\大事件\code\assets\lib\layui\layui.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\main.css", "CSS", 0, 0, 371, 0, 0, 0, 0, 46, 417
"f:\sls\code\大事件\code\assets\lib\template-web.js", "JavaScript", 2, 0, 0, 0, 0, 0, 1, 0, 3
"f:\sls\code\大事件\code\assets\lib\tinymce\jquery.tinymce.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\langs\readme.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 2, 4
"f:\sls\code\大事件\code\assets\lib\tinymce\langs\zh_CN.js", "JavaScript", 260, 0, 0, 0, 0, 0, 0, 0, 260
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\advlist\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\anchor\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\autolink\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\autoresize\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\autosave\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\bbcode\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\charmap\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\code\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\codesample\css\prism.css", "CSS", 0, 0, 109, 0, 0, 0, 8, 22, 139
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\codesample\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\colorpicker\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\contextmenu\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\directionality\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\emoticons\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\fullpage\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\fullscreen\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\help\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\hr\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\image\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\imagetools\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\imageupload\css\style.css", "CSS", 0, 0, 86, 0, 0, 0, 0, 0, 86
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\imageupload\jquery.iframe-post-form.js", "JavaScript", 54, 0, 0, 0, 0, 0, 16, 22, 92
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\imageupload\plugin.min.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 1, 90
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\imageupload\uncompressed\css\style.css", "CSS", 0, 0, 84, 0, 0, 0, 0, 0, 84
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\imageupload\uncompressed\plugin.js", "JavaScript", 119, 0, 0, 0, 0, 0, 3, 17, 139
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\importcss\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\insertdatetime\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\legacyoutput\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\link\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\lists\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\media\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\nonbreaking\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\noneditable\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\pagebreak\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\paste\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\preview\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\print\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\save\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\searchreplace\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\spellchecker\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\tabfocus\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\table\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\template\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\textcolor\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\textpattern\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\toc\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\visualblocks\css\visualblocks.css", "CSS", 0, 0, 135, 0, 0, 0, 0, 20, 155
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\visualblocks\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\visualchars\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\plugins\wordcount\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\skins\lightgray\content.inline.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\skins\lightgray\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\skins\lightgray\content.mobile.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\skins\lightgray\fonts\tinymce-small.svg", "XML", 0, 0, 0, 0, 63, 0, 0, 0, 63
"f:\sls\code\大事件\code\assets\lib\tinymce\skins\lightgray\fonts\tinymce.svg", "XML", 0, 0, 0, 0, 131, 0, 0, 0, 131
"f:\sls\code\大事件\code\assets\lib\tinymce\skins\lightgray\skin.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\skins\lightgray\skin.mobile.min.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\tinymce\themes\inlite\theme.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\themes\mobile\theme.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\themes\modern\theme.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\sls\code\大事件\code\assets\lib\tinymce\tinymce.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"f:\sls\code\大事件\code\assets\lib\tinymce\tinymce_setup.js", "JavaScript", 29, 0, 0, 0, 0, 0, 9, 1, 39
"f:\sls\code\大事件\code\home\dashboard.html", "HTML", 0, 330, 0, 0, 0, 0, 0, 16, 346
"f:\sls\code\大事件\code\index.html", "HTML", 0, 77, 0, 0, 0, 0, 4, 8, 89
"f:\sls\code\大事件\code\login.html", "HTML", 0, 168, 0, 0, 0, 0, 22, 17, 207
"f:\sls\code\大事件\code\user\user_avatar.html", "HTML", 0, 45, 0, 0, 0, 0, 7, 13, 65
"f:\sls\code\大事件\code\user\user_info.html", "HTML", 0, 52, 0, 0, 0, 0, 0, 10, 62
"f:\sls\code\大事件\code\user\user_pwd.html", "HTML", 0, 51, 0, 0, 0, 0, 0, 9, 60
"Total", "-", 3839, 1236, 1783, 2, 390, 44, 760, 1455, 9509
